対象品目コード,対象品目名,候補品目コード,候補品目名,根拠
PRCG20_1200150081,ノンアルコール飲料,PRCG20_1200750016,飲料用プラスチックボトル,PETボトル容器
PRCG20_1200150081,ノンアルコール飲料,PRCG20_1201150021,アルミニウム製飲料用缶,缶容器
PRCG20_1200150082,人造氷,PRCG20_1202250001,事業用電力,製氷の電力
PRCG20_1200150082,人造氷,PRCG20_1202250003,上水道,原料水
PRCG20_1200150082,人造氷,PRCG20_1200650005,軽油,配送用燃料
PRCG20_1200150083,配合飼料,PRCG20_2600150027,飼料作物,主原料のとうもろこし・こうりゃん
PRCG20_1200150083,配合飼料,PRCG20_2600150021,小麦,ふすま原料
PRCG20_1200150083,配合飼料,PRCG20_2600150008,植物油搾かす,大豆かす等のたんぱく源
PRCG20_1200150083,配合飼料,PRCG20_2600150019,フィッシュミール,動物性たんぱく原料
PRCG20_1200150084,ペットフード,PRCG20_2600150027,飼料作物,穀物原料
PRCG20_1200150084,ペットフード,PRCG20_2600150019,フィッシュミール,動物性たんぱく原料
PRCG20_1200150084,ペットフード,PRCG20_2600150030,鶏肉,肉類原料
PRCG20_1200150084,ペットフード,PRCG20_1201150012,食缶,缶容器
PRCG20_1200150085,たばこ,PRCG20_1202050004,葉たばこ,主原料
PRCG20_1200150085,たばこ,PRCG20_1200450006,加工原紙,巻紙原料
PRCG20_1200150085,たばこ,PRCG20_1202250001,事業用電力,製造工場の電力
PRCG20_1200250001,紡績糸,PRCG20_1200550032,化学繊維,合繊紡績の原料
PRCG20_1200250001,紡績糸,PRCG20_2600650013,化学繊維,輸入合繊原料
PRCG20_1200250001,紡績糸,PRCG20_1202250001,事業用電力,紡績工場の電力
PRCG20_1200250002,織物,PRCG20_1200250001,紡績糸,製織の主原料
PRCG20_1200250002,織物,PRCG20_1200550032,化学繊維,合繊フィラメント原料
PRCG20_1200250002,織物,PRCG20_2600250001,紡績糸,輸入糸
PRCG20_1200250003,フェルト生地・不織布,PRCG20_1200550032,化学繊維,主原料
PRCG20_1200250003,フェルト生地・不織布,PRCG20_1200550024,ポリプロピレン,スパンボンド原料
PRCG20_1200250003,フェルト生地・不織布,PRCG20_1200550022,ポリエチレン,熱接着繊維原料
PRCG20_1200250004,外衣・シャツ,PRCG20_1200250002,織物,生地の主原料
PRCG20_1200250004,外衣・シャツ,PRCG20_2600250002,織物,輸入生地
PRCG20_1200250004,外衣・シャツ,PRCG20_1200250001,紡績糸,ニット用糸
PRCG20_1200250005,下着類,PRCG20_1200250002,織物,生地の主原料
PRCG20_1200250005,下着類,PRCG20_2600250002,織物,輸入生地
PRCG20_1200250005,下着類,PRCG20_1200250001,紡績糸,ニット用糸
PRCG20_1200250006,繊維製身の回り品,PRCG20_1200250002,織物,生地原料
PRCG20_1200250006,繊維製身の回り品,PRCG20_2600250002,織物,輸入生地
PRCG20_1200250006,繊維製身の回り品,PRCG20_1200250001,紡績糸,縫糸・生地用糸
PRCG20_1200250007,寝具,PRCG20_1200250002,織物,生地原料
PRCG20_1200250007,寝具,PRCG20_1200550032,化学繊維,中綿・パイル原料
PRCG20_1200250007,寝具,PRCG20_2600250002,織物,輸入生地
PRCG20_1200250008,敷物,PRCG20_1200250002,織物,生地原料
PRCG20_1200250008,敷物,PRCG20_1200550032,化学繊維,中綿・パイル原料
PRCG20_1200250008,敷物,PRCG20_2600250002,織物,輸入生地
PRCG20_1200250009,繊維製帆布,PRCG20_1200550032,化学繊維,基布原料
PRCG20_1200250009,繊維製帆布,PRCG20_1200250001,紡績糸,織布用糸
PRCG20_1200250009,繊維製帆布,PRCG20_1200550025,塩化ビニル樹脂,ターポリン被覆材
PRCG20_1200250010,タオル,PRCG20_1200250002,織物,生地原料
PRCG20_1200250010,タオル,PRCG20_1200550032,化学繊維,中綿・パイル原料
PRCG20_1200250010,タオル,PRCG20_2600250002,織物,輸入生地
PRCG20_1200250011,衛生材料,PRCG20_1200250003,フェルト生地・不織布,基材の不織布
PRCG20_1200250011,衛生材料,PRCG20_1200550032,化学繊維,繊維原料
PRCG20_1200250011,衛生材料,PRCG20_1200550022,ポリエチレン,フィルム材
PRCG20_1200350001,板,PRCG20_1202050010,丸太,国産材原木
PRCG20_1200350001,板,PRCG20_2600450006,丸太,輸入原木
PRCG20_1200350001,板,PRCG20_2600450001,製材,輸入製材品
PRCG20_1200350001,板,PRCG20_1200650005,軽油,伐出・輸送の燃料
PRCG20_1200350002,ひき割,PRCG20_1202050010,丸太,国産材原木
PRCG20_1200350002,ひき割,PRCG20_2600450006,丸太,輸入原木
PRCG20_1200350002,ひき割,PRCG20_2600450001,製材,輸入製材品
PRCG20_1200350002,ひき割,PRCG20_1200650005,軽油,伐出・輸送の燃料
PRCG20_1200350003,ひき角,PRCG20_1202050010,丸太,国産材原木
PRCG20_1200350003,ひき角,PRCG20_2600450006,丸太,輸入原木
PRCG20_1200350003,ひき角,PRCG20_2600450001,製材,輸入製材品
PRCG20_1200350003,ひき角,PRCG20_1200650005,軽油,伐出・輸送の燃料
PRCG20_1200350004,梱包用材,PRCG20_1202050010,丸太,国産材原木
PRCG20_1200350004,梱包用材,PRCG20_2600450006,丸太,輸入原木
PRCG20_1200350004,梱包用材,PRCG20_2600450001,製材,輸入製材品
PRCG20_1200350004,梱包用材,PRCG20_1200650005,軽油,伐出・輸送の燃料
PRCG20_1200350005,普通合板,PRCG20_1202050010,丸太,国産材原木
PRCG20_1200350005,普通合板,PRCG20_2600450006,丸太,輸入原木
PRCG20_1200350005,普通合板,PRCG20_2600450002,合板,輸入合板
PRCG20_1200350005,普通合板,PRCG20_1200550046,接着剤,接着用樹脂
PRCG20_1200350006,特殊合板,PRCG20_1202050010,丸太,国産材原木
PRCG20_1200350006,特殊合板,PRCG20_2600450006,丸太,輸入原木
PRCG20_1200350006,特殊合板,PRCG20_2600450002,合板,輸入合板
PRCG20_1200350006,特殊合板,PRCG20_1200550046,接着剤,接着用樹脂
PRCG20_1200350007,集成材,PRCG20_1202050010,丸太,国産材原木
PRCG20_1200350007,集成材,PRCG20_2600450006,丸太,輸入原木
PRCG20_1200350007,集成材,PRCG20_2600450002,合板,輸入合板
PRCG20_1200350007,集成材,PRCG20_1200550046,接着剤,接着用樹脂
PRCG20_1200350008,木材チップ,PRCG20_1202050010,丸太,チップ原木
PRCG20_1200350008,木材チップ,PRCG20_1200650005,軽油,破砕・輸送の燃料
PRCG20_1200350008,木材チップ,PRCG20_1202250001,事業用電力,破砕の電力
PRCG20_1200350009,造作材,PRCG20_1200350001,板,製材品原料
PRCG20_1200350009,造作材,PRCG20_1200350005,普通合板,基材の合板
PRCG20_1200350009,造作材,PRCG20_1200350007,集成材,構造材原料
PRCG20_1200350009,造作材,PRCG20_1200550046,接着剤,接着用樹脂
PRCG20_1200350010,住宅建築用木製組立材料,PRCG20_1200350001,板,製材品原料
PRCG20_1200350010,住宅建築用木製組立材料,PRCG20_1200350005,普通合板,基材の合板
PRCG20_1200350010,住宅建築用木製組立材料,PRCG20_1200350007,集成材,構造材原料
PRCG20_1200350010,住宅建築用木製組立材料,PRCG20_1200550046,接着剤,接着用樹脂
PRCG20_1200350011,床板,PRCG20_1200350001,板,製材品原料
PRCG20_1200350011,床板,PRCG20_1200350005,普通合板,基材の合板
PRCG20_1200350011,床板,PRCG20_1200350007,集成材,構造材原料
PRCG20_1200350011,床板,PRCG20_1200550046,接着剤,接着用樹脂
PRCG20_1200350012,木箱,PRCG20_1200350001,板,製材品原料
PRCG20_1200350012,木箱,PRCG20_1200350005,普通合板,基材の合板
PRCG20_1200350012,木箱,PRCG20_1200350007,集成材,構造材原料
PRCG20_1200350012,木箱,PRCG20_1200550046,接着剤,接着用樹脂
PRCG20_1200450001,新聞用紙,PRCG20_2601050001,製紙さらしクラフトパルプ,パルプ原料
PRCG20_1200450001,新聞用紙,PRCG20_1202350001,古紙,古紙原料
PRCG20_1200450001,新聞用紙,PRCG20_1200350008,木材チップ,自製パルプの原料
PRCG20_1200450001,新聞用紙,PRCG20_1200650007,Ｂ重油・Ｃ重油,抄紙工程の燃料
PRCG20_1200450001,新聞用紙,PRCG20_1202250001,事業用電力,抄紙工程の電力
PRCG20_1200450002,非塗工印刷用紙,PRCG20_2601050001,製紙さらしクラフトパルプ,パルプ原料
PRCG20_1200450002,非塗工印刷用紙,PRCG20_1202350001,古紙,古紙原料
PRCG20_1200450002,非塗工印刷用紙,PRCG20_1200350008,木材チップ,自製パルプの原料
PRCG20_1200450002,非塗工印刷用紙,PRCG20_1200650007,Ｂ重油・Ｃ重油,抄紙工程の燃料
PRCG20_1200450002,非塗工印刷用紙,PRCG20_1202250001,事業用電力,抄紙工程の電力
PRCG20_1200450003,塗工印刷用紙,PRCG20_2601050001,製紙さらしクラフトパルプ,パルプ原料
PRCG20_1200450003,塗工印刷用紙,PRCG20_1202350001,古紙,古紙原料
PRCG20_1200450003,塗工印刷用紙,PRCG20_1200350008,木材チップ,自製パルプの原料
PRCG20_1200450003,塗工印刷用紙,PRCG20_1200650007,Ｂ重油・Ｃ重油,抄紙工程の燃料
PRCG20_1200450003,塗工印刷用紙,PRCG20_1202250001,事業用電力,抄紙工程の電力
PRCG20_1200450004,情報用紙,PRCG20_2601050001,製紙さらしクラフトパルプ,パルプ原料
PRCG20_1200450004,情報用紙,PRCG20_1202350001,古紙,古紙原料
PRCG20_1200450004,情報用紙,PRCG20_1200350008,木材チップ,自製パルプの原料
PRCG20_1200450004,情報用紙,PRCG20_1200650007,Ｂ重油・Ｃ重油,抄紙工程の燃料
PRCG20_1200450004,情報用紙,PRCG20_1202250001,事業用電力,抄紙工程の電力
PRCG20_1200450005,クラフト紙,PRCG20_2601050001,製紙さらしクラフトパルプ,パルプ原料
PRCG20_1200450005,クラフト紙,PRCG20_1202350001,古紙,古紙原料
PRCG20_1200450005,クラフト紙,PRCG20_1200350008,木材チップ,自製パルプの原料
PRCG20_1200450005,クラフト紙,PRCG20_1200650007,Ｂ重油・Ｃ重油,抄紙工程の燃料
PRCG20_1200450005,クラフト紙,PRCG20_1202250001,事業用電力,抄紙工程の電力
PRCG20_1200450006,加工原紙,PRCG20_2601050001,製紙さらしクラフトパルプ,パルプ原料
PRCG20_1200450006,加工原紙,PRCG20_1202350001,古紙,古紙原料
PRCG20_1200450006,加工原紙,PRCG20_1200350008,木材チップ,自製パルプの原料
PRCG20_1200450006,加工原紙,PRCG20_1200650007,Ｂ重油・Ｃ重油,抄紙工程の燃料
PRCG20_1200450006,加工原紙,PRCG20_1202250001,事業用電力,抄紙工程の電力
PRCG20_1200450007,ライナー,PRCG20_1202350001,古紙,主原料の古紙
PRCG20_1200450007,ライナー,PRCG20_2601050001,製紙さらしクラフトパルプ,パルプ原料
PRCG20_1200450007,ライナー,PRCG20_1200650007,Ｂ重油・Ｃ重油,抄紙工程の燃料
PRCG20_1200450007,ライナー,PRCG20_1202250001,事業用電力,抄紙工程の電力
PRCG20_1200450008,中しん原紙,PRCG20_1202350001,古紙,主原料の古紙
PRCG20_1200450008,中しん原紙,PRCG20_2601050001,製紙さらしクラフトパルプ,パルプ原料
PRCG20_1200450008,中しん原紙,PRCG20_1200650007,Ｂ重油・Ｃ重油,抄紙工程の燃料
PRCG20_1200450008,中しん原紙,PRCG20_1202250001,事業用電力,抄紙工程の電力
PRCG20_1200450009,白板紙,PRCG20_1202350001,古紙,主原料の古紙
PRCG20_1200450009,白板紙,PRCG20_2601050001,製紙さらしクラフトパルプ,パルプ原料
PRCG20_1200450009,白板紙,PRCG20_1200650007,Ｂ重油・Ｃ重油,抄紙工程の燃料
PRCG20_1200450009,白板紙,PRCG20_1202250001,事業用電力,抄紙工程の電力
PRCG20_1200450010,段ボール,PRCG20_1200450007,ライナー,表裏の原紙
PRCG20_1200450010,段ボール,PRCG20_1200450008,中しん原紙,中しんの原紙
PRCG20_1200450010,段ボール,PRCG20_1200550046,接着剤,貼合用接着剤
PRCG20_1200450011,アスファルト塗工紙,PRCG20_1200650009,アスファルト,塗工材
PRCG20_1200450011,アスファルト塗工紙,PRCG20_1200450006,加工原紙,原紙
PRCG20_1200450011,アスファルト塗工紙,PRCG20_1200450005,クラフト紙,基材紙
PRCG20_1200450012,ノーカーボン紙・粘着紙,PRCG20_1200450006,加工原紙,原紙
PRCG20_1200450012,ノーカーボン紙・粘着紙,PRCG20_1200550046,接着剤,粘着剤
PRCG20_1200450012,ノーカーボン紙・粘着紙,PRCG20_1200450002,非塗工印刷用紙,基材紙
PRCG20_1200450013,壁紙・ふすま紙,PRCG20_1200450006,加工原紙,原紙
PRCG20_1200450013,壁紙・ふすま紙,PRCG20_1200550025,塩化ビニル樹脂,ビニル壁紙の樹脂
PRCG20_1200450013,壁紙・ふすま紙,PRCG20_1200550003,無機顔料,着色材
PRCG20_1200450014,段ボール箱,PRCG20_1200450010,段ボール,主原料のシート
PRCG20_1200450014,段ボール箱,PRCG20_1200550044,印刷インキ,表示印刷用
PRCG20_1200450014,段ボール箱,PRCG20_1200650005,軽油,配送用燃料
PRCG20_1200450015,重包装紙袋,PRCG20_1200450005,クラフト紙,主原料
PRCG20_1200450015,重包装紙袋,PRCG20_1200550046,接着剤,製袋用
PRCG20_1200450015,重包装紙袋,PRCG20_1200550022,ポリエチレン,内層フィルム
PRCG20_1200450016,軽包装紙袋,PRCG20_1200450005,クラフト紙,主原料
PRCG20_1200450016,軽包装紙袋,PRCG20_1200550046,接着剤,製袋用
PRCG20_1200450016,軽包装紙袋,PRCG20_1200550044,印刷インキ,表示印刷用
PRCG20_1200450017,紙箱,PRCG20_1200450009,白板紙,主原料
PRCG20_1200450017,紙箱,PRCG20_1200550046,接着剤,製函用
PRCG20_1200450017,紙箱,PRCG20_1200550044,印刷インキ,表示印刷用
PRCG20_1200450018,大人用紙おむつ,PRCG20_2601050001,製紙さらしクラフトパルプ,吸収体パルプ
PRCG20_1200450018,大人用紙おむつ,PRCG20_1200250003,フェルト生地・不織布,表面材
PRCG20_1200450018,大人用紙おむつ,PRCG20_1200550022,ポリエチレン,防水材
PRCG20_1200450019,子供用紙おむつ,PRCG20_2601050001,製紙さらしクラフトパルプ,吸収体パルプ
PRCG20_1200450019,子供用紙おむつ,PRCG20_1200250003,フェルト生地・不織布,表面材
PRCG20_1200450019,子供用紙おむつ,PRCG20_1200550022,ポリエチレン,防水材
PRCG20_1200450020,ティッシュペーパー,PRCG20_2601050001,製紙さらしクラフトパルプ,主原料パルプ
PRCG20_1200450020,ティッシュペーパー,PRCG20_1202350001,古紙,再生原料
PRCG20_1200450020,ティッシュペーパー,PRCG20_1200450009,白板紙,箱材
PRCG20_1200450021,トイレットペーパー,PRCG20_1202350001,古紙,主原料
PRCG20_1200450021,トイレットペーパー,PRCG20_2601050001,製紙さらしクラフトパルプ,パルプ原料
PRCG20_1200450021,トイレットペーパー,PRCG20_1202250001,事業用電力,抄紙の電力
PRCG20_1200450022,生理用品,PRCG20_2601050001,製紙さらしクラフトパルプ,吸収体パルプ
PRCG20_1200450022,生理用品,PRCG20_1200250003,フェルト生地・不織布,表面材
PRCG20_1200450022,生理用品,PRCG20_1200550022,ポリエチレン,防水材
PRCG20_1200450023,封筒,PRCG20_1200450002,非塗工印刷用紙,紙原料
PRCG20_1200450023,封筒,PRCG20_1200450009,白板紙,厚紙原料
PRCG20_1200450023,封筒,PRCG20_1202350001,古紙,再生原料
PRCG20_1200450023,封筒,PRCG20_1200550046,接着剤,加工用接着剤
PRCG20_1200450024,日用紙製品,PRCG20_1200450002,非塗工印刷用紙,紙原料
PRCG20_1200450024,日用紙製品,PRCG20_1200450009,白板紙,厚紙原料
PRCG20_1200450024,日用紙製品,PRCG20_1202350001,古紙,再生原料
PRCG20_1200450024,日用紙製品,PRCG20_1200550046,接着剤,加工用接着剤
PRCG20_1200450025,紙管,PRCG20_1202350001,古紙,原紙原料
PRCG20_1200450025,紙管,PRCG20_1200550046,接着剤,巻取り接着用
PRCG20_1200450025,紙管,PRCG20_1202250001,事業用電力,加工の電力
PRCG20_1200550001,化学肥料,PRCG20_2600650001,化学肥料,輸入原料肥料（尿素・りん安・塩化カリ）
PRCG20_1200550001,化学肥料,PRCG20_2600550011,液化天然ガス,アンモニア合成の原燃料
PRCG20_1200550001,化学肥料,PRCG20_1200650002,ナフサ,水素源の石化原料
PRCG20_1200550002,ソーダ工業製品,PRCG20_2601050030,原塩,電解の主原料
PRCG20_1200550002,ソーダ工業製品,PRCG20_1202250001,事業用電力,電解工程の大量電力
PRCG20_1200550002,ソーダ工業製品,PRCG20_1200550005,塩,国産塩原料
PRCG20_1200550003,無機顔料,PRCG20_1200550002,ソーダ工業製品,反応用アルカリ
PRCG20_1200550003,無機顔料,PRCG20_2600650002,無機顔料,輸入顔料原料
PRCG20_1200550003,無機顔料,PRCG20_1202250001,事業用電力,焼成工程の電力
PRCG20_1200550004,圧縮ガス・液化ガス,PRCG20_1202250001,事業用電力,空気分離の大量電力
PRCG20_1200550004,圧縮ガス・液化ガス,PRCG20_1200650002,ナフサ,水素等の原料
PRCG20_1200550004,圧縮ガス・液化ガス,PRCG20_2600550011,液化天然ガス,原料ガス
PRCG20_1200550005,塩,PRCG20_2601050030,原塩,輸入原塩
PRCG20_1200550005,塩,PRCG20_1202250001,事業用電力,製塩の電力
PRCG20_1200550005,塩,PRCG20_1200650007,Ｂ重油・Ｃ重油,せんごう燃料
PRCG20_1200550006,電池用無機化学工業製品,PRCG20_2600650003,炭酸リチウム,リチウム原料
PRCG20_1200550006,電池用無機化学工業製品,PRCG20_2600350015,コバルト地金,正極材原料
PRCG20_1200550006,電池用無機化学工業製品,PRCG20_2600350017,ニッケル地金,正極材原料
PRCG20_1200550006,電池用無機化学工業製品,PRCG20_1202250001,事業用電力,合成・焼成の電力
PRCG20_1200550007,エチレン,PRCG20_1200650002,ナフサ,分解原料
PRCG20_1200550007,エチレン,PRCG20_2600550002,ナフサ,輸入ナフサ
PRCG20_1200550007,エチレン,PRCG20_2600550010,原油,原油価格連動
PRCG20_1200550008,プロピレン,PRCG20_1200650002,ナフサ,分解原料
PRCG20_1200550008,プロピレン,PRCG20_2600550002,ナフサ,輸入ナフサ
PRCG20_1200550008,プロピレン,PRCG20_2600550010,原油,原油価格連動
PRCG20_1200550009,ブタン・ブチレン・ブタジエン,PRCG20_1200650002,ナフサ,分解原料
PRCG20_1200550009,ブタン・ブチレン・ブタジエン,PRCG20_2600550002,ナフサ,輸入ナフサ
PRCG20_1200550009,ブタン・ブチレン・ブタジエン,PRCG20_2600550010,原油,原油価格連動
PRCG20_1200550010,ベンゼン,PRCG20_1200650002,ナフサ,改質原料
PRCG20_1200550010,ベンゼン,PRCG20_2600550002,ナフサ,輸入ナフサ
PRCG20_1200550010,ベンゼン,PRCG20_2600550010,原油,原油価格連動
PRCG20_1200550011,キシレン,PRCG20_1200650002,ナフサ,改質原料
PRCG20_1200550011,キシレン,PRCG20_2600550002,ナフサ,輸入ナフサ
PRCG20_1200550011,キシレン,PRCG20_2600550010,原油,原油価格連動
PRCG20_1200550012,合成アセトン,PRCG20_1200550007,エチレン,誘導品の基礎原料
PRCG20_1200550012,合成アセトン,PRCG20_1200550008,プロピレン,誘導品の基礎原料
PRCG20_1200550012,合成アセトン,PRCG20_1200650002,ナフサ,上流の石化原料
PRCG20_1200550013,酸化エチレン・エチレングリコール,PRCG20_1200550007,エチレン,誘導品の基礎原料
PRCG20_1200550013,酸化エチレン・エチレングリコール,PRCG20_1200550008,プロピレン,誘導品の基礎原料
PRCG20_1200550013,酸化エチレン・エチレングリコール,PRCG20_1200650002,ナフサ,上流の石化原料
PRCG20_1200550014,酸化プロピレン・ポリプロピレングリコール,PRCG20_1200550007,エチレン,誘導品の基礎原料
PRCG20_1200550014,酸化プロピレン・ポリプロピレングリコール,PRCG20_1200550008,プロピレン,誘導品の基礎原料
PRCG20_1200550014,酸化プロピレン・ポリプロピレングリコール,PRCG20_1200650002,ナフサ,上流の石化原料
PRCG20_1200550015,塩化ビニルモノマー,PRCG20_1200550007,エチレン,主原料
PRCG20_1200550015,塩化ビニルモノマー,PRCG20_1200550002,ソーダ工業製品,塩素源
PRCG20_1200550015,塩化ビニルモノマー,PRCG20_1202250001,事業用電力,電解・重合の電力
PRCG20_1200550016,アクリロニトリル,PRCG20_1200550007,エチレン,誘導品の基礎原料
PRCG20_1200550016,アクリロニトリル,PRCG20_1200550008,プロピレン,誘導品の基礎原料
PRCG20_1200550016,アクリロニトリル,PRCG20_1200650002,ナフサ,上流の石化原料
PRCG20_1200550017,スチレンモノマー,PRCG20_1200550010,ベンゼン,主原料
PRCG20_1200550017,スチレンモノマー,PRCG20_1200550007,エチレン,主原料
PRCG20_1200550017,スチレンモノマー,PRCG20_1200650002,ナフサ,上流の石化原料
PRCG20_1200550018,フェノール・ビスフェノールＡ,PRCG20_1200550010,ベンゼン,芳香族原料
PRCG20_1200550018,フェノール・ビスフェノールＡ,PRCG20_1200550011,キシレン,芳香族原料
PRCG20_1200550018,フェノール・ビスフェノールＡ,PRCG20_1200650002,ナフサ,上流の石化原料
PRCG20_1200550019,合成染料,PRCG20_1200550010,ベンゼン,芳香族原料
PRCG20_1200550019,合成染料,PRCG20_1200550011,キシレン,芳香族原料
PRCG20_1200550019,合成染料,PRCG20_1200650002,ナフサ,上流の石化原料
PRCG20_1200550020,合成ゴム,PRCG20_1200550009,ブタン・ブチレン・ブタジエン,主原料のブタジエン
PRCG20_1200550020,合成ゴム,PRCG20_1200550017,スチレンモノマー,SBR原料
PRCG20_1200550020,合成ゴム,PRCG20_1200650002,ナフサ,上流の石化原料
PRCG20_1200550021,熱硬化性樹脂,PRCG20_1200550018,フェノール・ビスフェノールＡ,フェノール樹脂・エポキシの原料
PRCG20_1200550021,熱硬化性樹脂,PRCG20_1200650002,ナフサ,上流の石化原料
PRCG20_1200550021,熱硬化性樹脂,PRCG20_1200550012,合成アセトン,溶剤・原料
PRCG20_1200550022,ポリエチレン,PRCG20_1200550007,エチレン,重合原料
PRCG20_1200550022,ポリエチレン,PRCG20_1200650002,ナフサ,上流の石化原料
PRCG20_1200550022,ポリエチレン,PRCG20_2600650011,熱可塑性樹脂,輸入樹脂
PRCG20_1200550023,ポリスチレン,PRCG20_1200550017,スチレンモノマー,重合原料
PRCG20_1200550023,ポリスチレン,PRCG20_1200650002,ナフサ,上流の石化原料
PRCG20_1200550023,ポリスチレン,PRCG20_2600650011,熱可塑性樹脂,輸入樹脂
PRCG20_1200550024,ポリプロピレン,PRCG20_1200550008,プロピレン,重合原料
PRCG20_1200550024,ポリプロピレン,PRCG20_1200650002,ナフサ,上流の石化原料
PRCG20_1200550024,ポリプロピレン,PRCG20_2600650011,熱可塑性樹脂,輸入樹脂
PRCG20_1200550025,塩化ビニル樹脂,PRCG20_1200550015,塩化ビニルモノマー,重合原料
PRCG20_1200550025,塩化ビニル樹脂,PRCG20_1200550002,ソーダ工業製品,塩素源
PRCG20_1200550025,塩化ビニル樹脂,PRCG20_1200550007,エチレン,上流原料
PRCG20_1200550026,ポリアミド樹脂,PRCG20_1200550011,キシレン,PET系原料のパラキシレン
PRCG20_1200550026,ポリアミド樹脂,PRCG20_1200550007,エチレン,重合原料
PRCG20_1200550026,ポリアミド樹脂,PRCG20_1200550010,ベンゼン,芳香族原料
PRCG20_1200550026,ポリアミド樹脂,PRCG20_1200650002,ナフサ,上流の石化原料
PRCG20_1200550027,飽和ポリエステル樹脂,PRCG20_1200550011,キシレン,PTA原料のパラキシレン
PRCG20_1200550027,飽和ポリエステル樹脂,PRCG20_1200550013,酸化エチレン・エチレングリコール,グリコール原料
PRCG20_1200550027,飽和ポリエステル樹脂,PRCG20_1200650002,ナフサ,上流の石化原料
PRCG20_1200550028,ポリカーボネート,PRCG20_1200550018,フェノール・ビスフェノールＡ,主原料
PRCG20_1200550028,ポリカーボネート,PRCG20_1200550010,ベンゼン,上流の芳香族原料
PRCG20_1200550028,ポリカーボネート,PRCG20_1200650002,ナフサ,上流の石化原料
PRCG20_1200550029,ポリフェニレンサルファイド,PRCG20_1200550011,キシレン,PET系原料のパラキシレン
PRCG20_1200550029,ポリフェニレンサルファイド,PRCG20_1200550007,エチレン,重合原料
PRCG20_1200550029,ポリフェニレンサルファイド,PRCG20_1200550010,ベンゼン,芳香族原料
PRCG20_1200550029,ポリフェニレンサルファイド,PRCG20_1200650002,ナフサ,上流の石化原料
PRCG20_1200550030,メタクリル樹脂,PRCG20_1200550012,合成アセトン,メタクリル原料
PRCG20_1200550030,メタクリル樹脂,PRCG20_1200650002,ナフサ,上流の石化原料
PRCG20_1200550030,メタクリル樹脂,PRCG20_1202250001,事業用電力,重合工程の電力
PRCG20_1200550031,フッ素樹脂,PRCG20_1200550012,合成アセトン,メタクリル原料
PRCG20_1200550031,フッ素樹脂,PRCG20_1200650002,ナフサ,上流の石化原料
PRCG20_1200550031,フッ素樹脂,PRCG20_1202250001,事業用電力,重合工程の電力
PRCG20_1200550032,化学繊維,PRCG20_1200550013,酸化エチレン・エチレングリコール,ポリエステル原料
PRCG20_1200550032,化学繊維,PRCG20_1200550011,キシレン,PTA原料のパラキシレン
PRCG20_1200550032,化学繊維,PRCG20_1200650002,ナフサ,上流の石化原料
PRCG20_1200550033,医薬品（除動物用）,PRCG20_2600650014,医薬品（除動物用）,輸入原薬・中間体
PRCG20_1200550033,医薬品（除動物用）,PRCG20_1200750017,プラスチック製容器（除中空成形）,包装容器
PRCG20_1200550033,医薬品（除動物用）,PRCG20_1202250001,事業用電力,製造・空調の電力
PRCG20_1200550034,石けん・身体洗浄剤,PRCG20_2600150009,オリーブ油・パーム油,油脂原料（パーム系）
PRCG20_1200550034,石けん・身体洗浄剤,PRCG20_1200150040,植物油脂（除混合植物油脂）,油脂原料
PRCG20_1200550034,石けん・身体洗浄剤,PRCG20_1200550002,ソーダ工業製品,けん化用アルカリ
PRCG20_1200550034,石けん・身体洗浄剤,PRCG20_1200550013,酸化エチレン・エチレングリコール,非イオン界面活性剤原料
PRCG20_1200550035,家庭用合成洗剤,PRCG20_2600150009,オリーブ油・パーム油,油脂原料（パーム系）
PRCG20_1200550035,家庭用合成洗剤,PRCG20_1200150040,植物油脂（除混合植物油脂）,油脂原料
PRCG20_1200550035,家庭用合成洗剤,PRCG20_1200550002,ソーダ工業製品,けん化用アルカリ
PRCG20_1200550035,家庭用合成洗剤,PRCG20_1200550013,酸化エチレン・エチレングリコール,非イオン界面活性剤原料
PRCG20_1200550036,柔軟仕上げ剤,PRCG20_2600150009,オリーブ油・パーム油,油脂原料（パーム系）
PRCG20_1200550036,柔軟仕上げ剤,PRCG20_1200150040,植物油脂（除混合植物油脂）,油脂原料
PRCG20_1200550036,柔軟仕上げ剤,PRCG20_1200550002,ソーダ工業製品,けん化用アルカリ
PRCG20_1200550036,柔軟仕上げ剤,PRCG20_1200550013,酸化エチレン・エチレングリコール,非イオン界面活性剤原料
PRCG20_1200550037,界面活性剤,PRCG20_2600150009,オリーブ油・パーム油,油脂原料（パーム系）
PRCG20_1200550037,界面活性剤,PRCG20_1200150040,植物油脂（除混合植物油脂）,油脂原料
PRCG20_1200550037,界面活性剤,PRCG20_1200550002,ソーダ工業製品,けん化用アルカリ
PRCG20_1200550037,界面活性剤,PRCG20_1200550013,酸化エチレン・エチレングリコール,非イオン界面活性剤原料
PRCG20_1200550038,仕上用・皮膚用化粧品,PRCG20_1200550037,界面活性剤,洗浄・乳化成分
PRCG20_1200550038,仕上用・皮膚用化粧品,PRCG20_1200150040,植物油脂（除混合植物油脂）,油性成分
PRCG20_1200550038,仕上用・皮膚用化粧品,PRCG20_1200550049,香料,賦香成分
PRCG20_1200550038,仕上用・皮膚用化粧品,PRCG20_1200750017,プラスチック製容器（除中空成形）,容器
